Country,Region,Population,Area,Pop. Density sq.mil,GDP per captia USD per annum,Infant mortality per 1000 births,Literacy,Coastline coast/area 9ratio),Net migration,Phones per 1000,Arable %,Crops %,Other %,Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Venezuela ,LATIN AMER. & CARIB    ,25730435,912050,28.2,4800,22.2,93.4,0.31,-0.04,140.1,2.95,0.92,96.13,2,18.71,4.92,0.04,0.419,0.541
Portugal ,WESTERN EUROPE                     ,10605870,92391,114.8,18000,5.05,93.3,1.94,3.57,399.2,21.75,7.81,70.44,3,10.72,10.5,0.053,0.274,0.673
Serbia ,EASTERN EUROPE                     ,9396411,88361,106.3,2200,12.89,93,0,-1.33,285.8,33.35,3.2,63.45,,,,0.166,0.255,0.579
Thailand ,ASIA (EX. NEAR EAST)         ,64631595,514000,125.7,7400,20.48,92.6,0.63,0,108.9,29.36,6.46,64.18,2,13.87,7.04,0.099,0.441,0.46
Philippines ,ASIA (EX. NEAR EAST)         ,89468677,300000,298.2,4600,23.51,92.6,12.1,-1.5,38.4,18.95,16.77,64.28,2,24.89,5.41,0.144,0.326,0.53
Singapore ,ASIA (EX. NEAR EAST)         ,4492150,693,6482.2,23700,2.29,92.5,27.85,11.53,411.4,1.64,0,98.36,2,9.34,4.28,0,0.339,0.661
Ecuador ,LATIN AMER. & CARIB    ,13547510,283560,47.8,3300,23.66,92.5,0.79,-8.58,125.6,5.85,4.93,89.22,2,22.29,4.23,0.07,0.312,0.618
Colombia ,LATIN AMER. & CARIB    ,43593035,1138910,38.3,6300,20.97,92.5,0.28,-0.31,176.2,2.42,1.67,95.91,2,20.48,5.58,0.125,0.342,0.533
Mexico ,LATIN AMER. & CARIB    ,107449525,1972550,54.5,9000,20.91,92.2,0.47,-4.87,181.6,12.99,1.31,85.7,1.5,20.69,4.74,0.038,0.259,0.702
Jordan ,NEAR EAST                          ,5906760,92300,64,4300,17.35,91.3,0.03,6.59,104.5,2.67,1.83,95.5,1,21.25,2.65,0.033,0.287,0.68
Peru ,LATIN AMER. & CARIB    ,28302603,1285220,22,5100,31.94,90.9,0.19,-1.05,79.5,2.89,0.4,96.71,1.5,20.48,6.23,0.08,0.27,0.65
China ,ASIA (EX. NEAR EAST)         ,1313973713,9596960,136.9,5000,24.18,90.9,0.15,-0.4,266.7,15.4,1.25,83.35,1.5,13.25,6.97,0.125,0.473,0.403
Vietnam ,ASIA (EX. NEAR EAST)         ,84402966,329560,256.1,2500,25.95,90.3,1.05,-0.45,187.7,19.97,5.95,74.08,2,16.86,6.22,0.209,0.41,0.381
Bahrain ,NEAR EAST                          ,698585,665,1050.5,16900,17.27,89.1,24.21,1.05,281.3,2.82,5.63,91.55,1,17.8,4.14,0.005,0.387,0.608
Malaysia ,ASIA (EX. NEAR EAST)         ,24385858,329750,74,9000,17.7,88.7,1.42,0,179,5.48,17.61,76.91,2,22.86,5.05,0.084,0.48,0.436
Indonesia ,ASIA (EX. NEAR EAST)         ,245452739,1919440,127.9,3200,35.6,87.9,2.85,0,52,11.32,7.23,81.45,2,20.34,6.25,0.134,0.458,0.408
Lebanon ,NEAR EAST                          ,3874050,10400,372.5,4800,24.52,87.4,2.16,0,255.6,16.62,13.98,69.4,,18.52,6.21,0.12,0.21,0.67
Turkey ,NEAR EAST                          ,70413958,780580,90.2,6700,41.04,86.5,0.92,0,269.5,30.93,3.31,65.76,3,16.62,5.97,0.117,0.298,0.585
South Africa ,SUB-SAHARAN AFRICA                 ,44187637,1219912,36.2,10700,61.81,86.4,0.23,-0.29,107,12.08,0.79,87.13,1,18.2,22,0.025,0.303,0.671
Brazil ,LATIN AMER. & CARIB    ,188078227,8511965,22.1,7600,29.61,86.4,0.09,-0.03,225.3,6.96,0.9,92.15,2,16.56,6.17,0.084,0.4,0.516
Mauritius ,SUB-SAHARAN AFRICA                 ,1240827,2040,608.3,11400,15.03,85.6,8.68,-0.9,289.3,49.26,2.96,47.78,2,15.43,6.86,0.059,0.298,0.643
Kenya ,SUB-SAHARAN AFRICA                 ,34707817,582650,59.6,1000,61.47,85.1,0.09,-0.1,8.1,8.08,0.98,90.94,1.5,39.72,14.02,0.163,0.188,0.651
Kuwait ,NEAR EAST                          ,2418393,17820,135.7,19000,9.95,83.5,2.8,14.18,211,0.73,0.11,99.16,1,21.94,2.41,0.004,0.479,0.516
Libya ,NORTHERN AFRICA                    ,5900754,1759540,3.4,6400,24.6,82.6,0.1,0,127.1,1.03,0.19,98.78,,26.49,3.48,0.076,0.499,0.425
Qatar ,NEAR EAST                          ,885359,11437,77.4,21500,18.61,82.5,4.92,16.29,232,1.64,0.27,98.09,1,15.56,4.72,0.002,0.801,0.197
Iran ,ASIA (EX. NEAR EAST)         ,68688433,1648000,41.7,7000,41.58,79.4,0.15,-0.84,276.4,8.72,1.39,89.89,1,17,5.55,0.116,0.424,0.46
Saudi Arabia ,NEAR EAST                          ,27019731,1960582,13.8,11800,13.24,78.8,0.13,-2.71,140.6,1.67,0.09,98.24,1,29.34,2.58,0.033,0.613,0.354
Tanzania ,SUB-SAHARAN AFRICA                 ,37445392,945087,39.6,600,98.54,78.2,0.15,-2.06,4,4.52,1.08,94.4,,37.71,16.39,0.432,0.172,0.396
United Arab Emirates ,NEAR EAST                          ,2602713,82880,31.4,23200,14.51,77.9,1.59,1.03,475.3,0.6,2.25,97.15,1,18.96,4.4,0.04,0.585,0.375
Oman ,NEAR EAST                          ,3102229,212460,14.6,13100,19.51,75.8,0.98,0.28,85.5,0,0.14,99.74,1,36.24,3.81,0.027,0.39,0.583
Ghana ,SUB-SAHARAN AFRICA                 ,22409572,239460,93.6,2200,51.43,74.8,0.23,-0.64,14.4,16.26,9.67,74.07,2,30.52,9.72,0.366,0.246,0.387
Tunisia ,NORTHERN AFRICA                    ,10175014,163610,62.2,6900,24.77,74.2,0.7,-0.57,123.6,17.86,13.74,68.4,3,15.52,5.13,0.132,0.318,0.55
Algeria ,NORTHERN AFRICA                    ,32930091,2381740,13.8,6000,31,70,0.04,-0.39,78.1,3.22,0.25,96.53,1,17.14,4.61,0.101,0.6,0.298
Nigeria ,SUB-SAHARAN AFRICA                 ,131859731,923768,142.7,900,98.8,68,0.09,0.26,9.3,31.29,2.96,65.75,1.5,40.43,16.94,0.269,0.487,0.244
Egypt ,NORTHERN AFRICA                    ,78887007,1001450,78.8,4000,32.59,57.7,0.24,-0.22,131.8,2.87,0.48,96.65,1,22.94,5.23,0.149,0.357,0.493
Morocco ,NORTHERN AFRICA                    ,33241259,446550,74.4,4000,41.62,51.7,0.41,-0.98,40.4,19.61,2.17,78.22,,21.98,5.58,0.217,0.357,0.426
Iraq ,NEAR EAST                          ,26783383,437072,61.3,1500,50.25,40.4,0.01,0,38.6,13.15,0.78,86.07,1,31.98,5.37,0.073,0.666,0.261
Macedonia ,EASTERN EUROPE                     ,2050554,25333,80.9,6700,10.09,60,0,-1.45,260,22.26,1.81,75.93,3,12.02,8.77,0.118,0.319,0.563
Slovakia ,EASTERN EUROPE                     ,5439448,48845,111.4,13300,7.41,70,0,0.3,220.1,30.16,2.62,67.22,3,10.65,9.45,0.035,0.294,0.672
